,player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals_pens,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
0,Abdelkarim Hassan,DF,Qatar,29-112,1993,3.0,7.0,3,5.0,2.0,0.0,3.0,4.0,75.0,1.0,3.0,1.0,2.0,1,8.0,5.0,0.0,4.0,1.33,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,4,1,6,0.0,0.0,0,11.0,3.0,1.0,75.0,161.0,148.0,13.0,11.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,122.0,0.0,8.0,75.8,2462.0,813.0,57.0,63.0,90.5,44.0,51.0,86.3,20.0,37.0,54.1,0,0.0,0.1,0.0,1.0,13.0,1.0,0.0,8.0,193.0,15.0,83.0,95.0,17.0,2.0,193.0,1.0,5.0,20.0,2.0,0.0,138.0,1.0,0,6,0,0.0,2.0,0.0,0.0,,23.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,3,3,270,0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.01,0.11,0.1,0.11
1,Abdou Diallo,DF,Senegal,26-228,1996,3.7,2.0,2,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1,3.0,10.0,0.0,2.0,0.54,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,0,3,0.0,0.0,0,17.0,7.0,6.0,53.8,186.0,165.0,20.0,12.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,139.0,1.0,1.0,74.7,2852.0,1121.0,42.0,51.0,82.4,71.0,79.0,89.9,22.0,47.0,46.8,0,0.1,0.0,-0.1,1.0,10.0,1.0,1.0,8.0,210.0,19.0,98.0,98.0,15.0,1.0,210.0,0.0,0.0,,2.0,2.0,138.0,0.0,0,1,0,0.0,0.27,0.0,0.0,,15.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,4,4,331,0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
2,Abdulelah Al-Amri,DF,Saudi Arabia,25-337,1997,2.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,3,3,0,1,0.0,0.0,0,15.0,10.0,4.0,71.4,104.0,99.0,5.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,74.0,0.0,1.0,71.2,1677.0,951.0,26.0,35.0,74.3,26.0,33.0,78.8,22.0,34.0,64.7,0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,11.0,129.0,12.0,58.0,65.0,7.0,2.0,129.0,0.0,0.0,,1.0,0.0,63.0,0.0,0,1,0,0.0,0.49,0.0,0.0,,10.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,3,2,182,0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.03,0.03,0.03
3,Abdullah Madu,DF,Saudi Arabia,29-156,1993,0.5,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,1.0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0.0,0.0,0,2.0,1.0,1.0,50.0,13.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,38.5,89.0,64.0,2.0,3.0,66.7,2.0,6.0,33.3,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,4.0,12.0,8.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,6.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Abolfazl Jalali,DF,IR Iran,24-175,1998,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,4.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,4,0,2,0.0,0.0,0,3.0,0.0,0.0,,29.0,21.0,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,69.0,311.0,51.0,9.0,9.0,100.0,11.0,14.0,78.6,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,34.0,1.0,5.0,18.0,12.0,0.0,34.0,1.0,5.0,20.0,0.0,1.0,18.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Achraf Dari,DF,Morocco,23-226,1999,2.1,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,7.0,4.0,3.0,5,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,0,0.0,0.0,0,10.0,5.0,5.0,50.0,111.0,107.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,89.2,1812.0,752.0,37.0,39.0,94.9,55.0,57.0,96.5,7.0,13.0,53.8,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,139.0,24.0,84.0,51.0,4.0,1.0,139.0,0.0,0.0,,0.0,1.0,85.0,0.0,1,1,1,100.0,0.48,0.48,1.0,1.0,4.1,0.0,0,0,0.6,0.6,0.63,0.4,0.4,3,2,187,1,0.48,0.0,0.48,0.48,0.48,0.6,0.3,0.0,0.3,0.3,0.3
6,Achraf Hakimi,DF,Morocco,24-044,1998,7.0,26.0,17,15.0,10.0,1.0,17.0,28.0,60.7,11.0,7.0,1.0,6.0,9,35.0,12.0,0.0,14.0,2.1,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,13,0,12,0.0,0.0,0,46.0,5.0,8.0,38.5,382.0,308.0,73.0,6.0,1.0,5.0,67.0,0.0,0.0,0.0,0.0,312.0,1.0,8.0,81.7,4121.0,1792.0,207.0,232.0,89.2,63.0,80.0,78.8,19.0,32.0,59.4,1,0.5,0.6,0.5,6.0,14.0,6.0,5.0,10.0,478.0,25.0,185.0,190.0,111.0,14.0,478.0,2.0,15.0,13.3,17.0,8.0,280.0,18.0,0,4,1,25.0,0.57,0.14,0.0,0.0,26.5,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,7,7,631,0,0.0,0.14,0.14,0.0,0.14,0.6,0.02,0.07,0.09,0.02,0.09
7,Alejandro Balde,DF,Spain,19-061,2003,1.4,6.0,6,2.0,2.0,2.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,0,6.0,2.0,0.0,2.0,1.75,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,2,0.0,0.0,0,10.0,0.0,2.0,0.0,123.0,111.0,12.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,91.1,1890.0,293.0,49.0,56.0,87.5,55.0,57.0,96.5,7.0,9.0,77.8,0,0.0,0.2,0.0,0.0,5.0,2.0,0.0,4.0,135.0,0.0,17.0,86.0,33.0,3.0,135.0,0.0,2.0,0.0,2.0,3.0,109.0,4.0,0,1,0,0.0,0.71,0.0,0.0,,11.3,0.0,0,0,0.0,0.0,0.05,0.0,0.0,4,1,126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
8,Alex Sandro,DF,Brazil,31-326,1991,2.1,8.0,3,6.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3,11.0,9.0,0.0,6.0,3.09,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,2,0,4,0.0,0.0,0,16.0,3.0,1.0,75.0,169.0,144.0,24.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,150.0,1.0,2.0,88.8,2171.0,680.0,89.0,93.0,95.7,53.0,61.0,86.9,5.0,11.0,45.5,0,0.1,0.2,-0.1,1.0,11.0,2.0,1.0,11.0,193.0,7.0,45.0,111.0,38.0,0.0,193.0,1.0,2.0,50.0,1.0,0.0,121.0,4.0,0,1,0,0.0,0.47,0.0,0.0,,33.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,3,2,190,0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.04,0.05,0.01,0.05
9,Alex Telles,DF,Brazil,30-003,1992,0.7,2.0,2,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,1.0,1.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,3,0.0,0.0,0,1.0,1.0,1.0,50.0,42.0,37.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,78.6,507.0,135.0,15.0,17.0,88.2,15.0,18.0,83.3,1.0,5.0,20.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,46.0,0.0,12.0,21.0,14.0,1.0,46.0,0.0,0.0,,1.0,0.0,32.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2,1,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alexander Bah,DF,Denmark,25-009,1997,0.5,4.0,4,2.0,1.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,2,6.0,0.0,0.0,4.0,7.83,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,4,0.0,0.0,0,3.0,4.0,0.0,100.0,53.0,46.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,69.8,580.0,150.0,15.0,18.0,83.3,19.0,23.0,82.6,1.0,9.0,11.1,0,0.1,0.1,-0.1,1.0,0.0,3.0,1.0,2.0,65.0,1.0,22.0,19.0,24.0,3.0,65.0,0.0,2.0,0.0,0.0,0.0,36.0,2.0,0,2,0,0.0,3.91,0.0,0.0,,19.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,2,0,46,0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.14,0.25,0.11,0.25
11,Alexander Djiku,DF,Ghana,28-131,1994,1.1,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2,3.0,9.0,0.0,1.0,0.93,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,28.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,78.6,381.0,180.0,7.0,7.0,100.0,12.0,14.0,85.7,2.0,6.0,33.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,15.0,33.0,10.0,0.0,0.0,43.0,0.0,0.0,,0.0,0.0,18.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2,1,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ali Abdi,DF,Tunisia,28-363,1993,2.1,8.0,5,5.0,2.0,1.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,4,12.0,13.0,1.0,3.0,1.44,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5,0,1,5,0.0,0.0,0,17.0,9.0,5.0,64.3,116.0,87.0,28.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,72.0,1.0,5.0,62.1,1451.0,630.0,25.0,31.0,80.6,38.0,57.0,66.7,9.0,22.0,40.9,0,0.0,0.1,0.0,1.0,4.0,2.0,0.0,6.0,152.0,16.0,66.0,61.0,26.0,3.0,152.0,1.0,2.0,50.0,5.0,4.0,67.0,11.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3,2,188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
13,Ali Al-Bulaihi,DF,Saudi Arabia,33-027,1989,2.4,4.0,2,2.0,2.0,0.0,2.0,4.0,50.0,2.0,1.0,1.0,0.0,3,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0.0,0.0,0,5.0,3.0,3.0,50.0,97.0,87.0,10.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,80.4,1353.0,379.0,31.0,36.0,86.1,39.0,45.0,86.7,6.0,13.0,46.2,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,110.0,7.0,54.0,55.0,1.0,0.0,110.0,0.0,0.0,,2.0,0.0,65.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,3,3,216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Ali Maâloul,DF,Tunisia,32-351,1990,1.0,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0.0,0.0,0,5.0,0.0,1.0,0.0,63.0,43.0,19.0,1.0,0.0,1.0,12.0,6.0,5.0,1.0,0.0,39.0,1.0,2.0,61.9,733.0,412.0,19.0,22.0,86.4,13.0,18.0,72.2,6.0,19.0,31.6,0,0.0,0.1,0.0,0.0,4.0,2.0,1.0,4.0,70.0,3.0,12.0,28.0,30.0,0.0,70.0,0.0,0.0,,0.0,1.0,34.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,1,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alidu Seidu,DF,Ghana,22-197,2000,1.7,6.0,4,5.0,1.0,0.0,2.0,2.0,100.0,0.0,5.0,0.0,5.0,0,6.0,3.0,0.0,2.0,1.16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,5,5,0,6,0.0,0.0,0,6.0,1.0,0.0,100.0,78.0,62.0,16.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,59.0,0.0,2.0,75.6,791.0,246.0,43.0,47.0,91.5,12.0,17.0,70.6,2.0,8.0,25.0,0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,98.0,3.0,37.0,42.0,22.0,1.0,98.0,4.0,6.0,66.7,4.0,0.0,49.0,0.0,0,1,0,0.0,0.58,0.0,0.0,,31.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0,2,2,155,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
16,Alistair Johnston,DF,Canada,24-071,1998,3.0,5.0,3,5.0,0.0,0.0,2.0,7.0,28.6,5.0,6.0,1.0,5.0,2,7.0,4.0,0.0,8.0,2.67,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,5,3,0,8,0.0,0.0,0,16.0,4.0,2.0,66.7,186.0,145.0,41.0,6.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,147.0,0.0,3.0,79.0,2408.0,998.0,77.0,86.0,89.5,55.0,67.0,82.1,12.0,25.0,48.0,0,0.2,0.1,-0.2,3.0,9.0,3.0,1.0,10.0,209.0,8.0,61.0,106.0,44.0,5.0,209.0,1.0,1.0,100.0,4.0,1.0,121.0,4.0,0,2,1,50.0,0.67,0.33,0.0,0.0,8.5,0.0,0,0,0.8,0.8,0.4,-0.8,-0.8,3,3,270,0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,0.06,0.33,0.27,0.33
