,player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals_pens,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
0,Abderrazak Hamdallah,FW,Morocco,32-001,1990,0.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,2,0,0,0.0,0.0,0,4.0,1.0,7.0,12.5,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,53.3,64.0,11.0,7.0,9.0,77.8,0.0,4.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0,2.0,15.0,12.0,5.0,28.0,2.0,3.0,66.7,4.0,3.0,18.0,3.0,0,2,1,50.0,2.65,1.32,0.0,0.0,7.8,0.0,0,0,0.4,0.4,0.2,-0.4,-0.4,4,0,68,0,0.0,0.0,0.0,0.0,0.0,0.4,0.52,0.0,0.52,0.52,0.52
1,Abdessamad Ezzalzouli,FW,Morocco,21-001,2001,1.0,3.0,2,2.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,1.0,3.0,0,3.0,3.0,0.0,4.0,5.63,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,0,1,0.0,0.0,0,4.0,1.0,2.0,33.3,13.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,76.9,118.0,38.0,8.0,9.0,88.9,2.0,2.0,100.0,0.0,2.0,0.0,0,0.3,0.4,-0.3,2.0,0.0,0.0,0.0,2.0,40.0,2.0,17.0,9.0,16.0,5.0,40.0,1.0,2.0,50.0,9.0,1.0,16.0,3.0,0,1,0,0.0,0.97,0.0,0.0,,13.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,3,0,93,0,0.0,0.0,0.0,0.0,0.0,0.3,0.09,0.39,0.49,0.09,0.49
2,Abdul Fatawu Issahaku,FW,Ghana,18-285,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,48.0,36.0,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Ahmed Alaaeldin,FW,Qatar,29-321,1993,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Akram Afif,FW,Qatar,26-030,1996,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,2.33,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,6,1,13,0.0,0.0,0,14.0,1.0,1.0,50.0,165.0,142.0,22.0,8.0,1.0,2.0,2.0,6.0,4.0,1.0,0.0,139.0,1.0,4.0,84.2,2502.0,645.0,45.0,50.0,90.0,60.0,66.0,90.9,21.0,28.0,75.0,0,0.3,0.3,-0.3,5.0,10.0,4.0,1.0,7.0,181.0,1.0,11.0,122.0,50.0,2.0,181.0,3.0,7.0,42.9,5.0,5.0,141.0,10.0,0,2,0,0.0,0.67,0.0,0.0,,29.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,3,3,270,0,0.0,0.0,0.0,0.0,0.0,0.3,0.02,0.1,0.12,0.02,0.12
5,Aleksandar Mitrović,FW,Serbia,28-093,1994,2.9,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,3.0,1.03,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,1,1,1,0.0,0.0,0,6.0,5.0,12.0,29.4,69.0,57.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,1.0,78.3,799.0,106.0,29.0,34.0,85.3,17.0,22.0,77.3,3.0,4.0,75.0,0,0.7,0.1,-0.7,2.0,5.0,1.0,0.0,2.0,95.0,1.0,3.0,54.0,39.0,14.0,95.0,1.0,1.0,100.0,6.0,3.0,67.0,12.0,2,10,3,30.0,3.44,1.03,0.2,0.67,14.1,0.0,0,0,1.6,1.6,0.16,0.4,0.4,3,3,262,2,0.69,0.0,0.69,0.69,0.69,2.4,0.57,0.24,0.81,0.57,0.81
6,Alexis Vega,FW,Mexico,25-023,1997,2.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,1.0,2.0,0.0,4.0,1.87,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,6,4,6,0.0,0.0,0,16.0,1.0,5.0,16.7,56.0,50.0,6.0,2.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,40.0,0.0,2.0,71.4,658.0,208.0,23.0,26.0,88.5,12.0,18.0,66.7,4.0,8.0,50.0,0,0.1,0.1,-0.1,1.0,3.0,0.0,0.0,4.0,85.0,1.0,8.0,42.0,35.0,8.0,85.0,1.0,4.0,25.0,6.0,8.0,50.0,9.0,0,9,2,22.2,4.2,0.93,0.0,0.0,21.0,1.0,0,0,0.8,0.8,0.09,-0.8,-0.8,3,3,193,0,0.0,0.0,0.0,0.0,0.0,0.9,0.39,0.06,0.44,0.39,0.44
7,Almoez Ali,FW,Qatar,26-121,1996,2.5,1.0,0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,2,3,0,0.0,0.0,0,6.0,2.0,9.0,18.2,45.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,73.3,493.0,32.0,17.0,21.0,81.0,10.0,15.0,66.7,3.0,3.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,5.0,41.0,20.0,6.0,66.0,0.0,3.0,0.0,6.0,3.0,48.0,8.0,0,3,1,33.3,1.21,0.4,0.0,0.0,16.4,0.0,0,0,0.4,0.4,0.12,-0.4,-0.4,3,3,224,0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.15,0.15,0.15
8,Anass Zaroury,FW,Morocco,22-041,2000,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,3,0.0,0.0,0,3.0,0.0,0.0,,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,61.5,92.0,10.0,5.0,5.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,6.0,8.0,0.0,15.0,1.0,1.0,100.0,0.0,0.0,10.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,1,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Andreas Cornelius,FW,Denmark,29-277,1993,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,5.0,4.89,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,4,2,0,1,0.0,0.0,0,2.0,11.0,8.0,57.9,34.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,61.8,206.0,14.0,13.0,16.0,81.3,5.0,13.0,38.5,0.0,0.0,,0,0.1,0.0,-0.1,3.0,0.0,0.0,0.0,1.0,48.0,1.0,3.0,15.0,30.0,11.0,48.0,1.0,1.0,100.0,4.0,1.0,41.0,15.0,0,5,2,40.0,4.89,1.96,0.0,0.0,10.2,0.0,0,0,1.0,1.0,0.2,-1.0,-1.0,3,1,92,0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.09,1.09,1.0,1.09
