,Player,PlayerURL
0,Rodrigo De Paul,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
1,Nicolás Otamendi,https://fbref.com/en/players/0d267745/Nicolas-Otamendi
2,Lionel Messi,https://fbref.com/en/players/d70ce98e/Lionel-Messi
3,Leandro Paredes,https://fbref.com/en/players/dff153a4/Leandro-Paredes
4,Lautaro Martínez,https://fbref.com/en/players/f7036e1c/Lautaro-Martinez
5,Emiliano Martínez,https://fbref.com/en/players/7956236f/Emiliano-Martinez
6,Nahuel Molina,https://fbref.com/en/players/23610943/Nahuel-Molina
8,Marcos Acuña,https://fbref.com/en/players/81442ecb/Marcos-Acuna
9,Ángel Di María,https://fbref.com/en/players/19cda00b/Angel-Di-Maria
10,Nicolás Tagliafico,https://fbref.com/en/players/f0661424/Nicolas-Tagliafico
11,Gonzalo Montiel,https://fbref.com/en/players/374d5158/Gonzalo-Montiel
13,Cristian Romero,https://fbref.com/en/players/a3d94a58/Cristian-Romero
17,Germán Pezzella,https://fbref.com/en/players/8c725b43/German-Pezzella
18,Guido Rodríguez,https://fbref.com/en/players/34e393f2/Guido-Rodriguez
19,Papu Gómez,https://fbref.com/en/players/6e4df551/Papu-Gomez
21,Lisandro Martínez,https://fbref.com/en/players/bac46a10/Lisandro-Martinez
22,Exequiel Palacios,https://fbref.com/en/players/e82adcab/Exequiel-Palacios
23,Alexis Mac Allister,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
24,Julián Álvarez,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez
25,Juan Foyth,https://fbref.com/en/players/6c7762c3/Juan-Foyth
28,Paulo Dybala,https://fbref.com/en/players/e0921a4f/Paulo-Dybala
29,Ángel Correa,https://fbref.com/en/players/01eb744d/Angel-Correa
1,Ajdin Hrustic,https://fbref.com/en/players/1f2d714c/Ajdin-Hrustic
2,Jackson Irvine,https://fbref.com/en/players/4637747c/Jackson-Irvine
3,Aaron Mooy,https://fbref.com/en/players/47b7e3af/Aaron-Mooy
4,Kye Rowles,https://fbref.com/en/players/8caf6772/Kye-Rowles
5,Bailey Wright,https://fbref.com/en/players/4be70ecf/Bailey-Wright
6,Aziz Behich,https://fbref.com/en/players/b6867b96/Aziz-Behich
7,Mathew Ryan,https://fbref.com/en/players/4535e4bb/Mathew-Ryan
8,Nathaniel Atkinson,https://fbref.com/en/players/51caa1f0/Nathaniel-Atkinson
9,Mathew Leckie,https://fbref.com/en/players/b93b7882/Mathew-Leckie
10,Mitchell Duke,https://fbref.com/en/players/293f5bf9/Mitchell-Duke
11,Awer Mabil,https://fbref.com/en/players/922da988/Awer-Mabil
12,Jamie Maclaren,https://fbref.com/en/players/2a8ba67e/Jamie-Maclaren
13,Fran Karačić,https://fbref.com/en/players/e2f8c69c/Fran-Karacic
14,Craig Goodwin,https://fbref.com/en/players/b2741e3d/Craig-Goodwin
17,Miloš Degenek,https://fbref.com/en/players/c8e65157/Milos-Degenek
19,Riley McGree,https://fbref.com/en/players/59d61727/Riley-McGree
