"","Season","Squad","Comp","Player","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Netherlands","WCQ — UEFA M","Memphis Depay","FW,MF","27",10,10,899,10,12,6,8,4,6,0,0,1.2,0.6,1.8,0.8,1.4,"https://fbref.com/en/players/8f696594/Memphis-Depay"
"2",NA,"2022 Netherlands","WCQ — UEFA M","Frenkie de Jong","MF","24",10,10,803,8.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1bacc518/Frenkie-de-Jong"
"3",NA,"2022 Netherlands","WCQ — UEFA M","Davy Klaassen","MF","28",10,9,767,8.5,4,4,4,0,0,1,0,0.47,0.47,0.94,0.47,0.94,"https://fbref.com/en/players/15fd5593/Davy-Klaassen"
"4",NA,"2022 Netherlands","WCQ — UEFA M","Daley Blind","DF","31",9,9,764,8.5,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/691bef82/Daley-Blind"
"5",NA,"2022 Netherlands","WCQ — UEFA M","Georginio Wijnaldum","MF,DF","31",9,9,725,8.1,2,2,2,0,0,2,0,0.25,0.25,0.5,0.25,0.5,"https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum"
"6",NA,"2022 Netherlands","WCQ — UEFA M","Denzel Dumfries","DF","25",10,8,678,7.5,1,1,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27,"https://fbref.com/en/players/481c9ece/Denzel-Dumfries"
"7",NA,"2022 Netherlands","WCQ — UEFA M","Steven Berghuis","FW","30",8,8,598,6.6,2,3,2,0,0,0,0,0.3,0.45,0.75,0.3,0.75,"https://fbref.com/en/players/713c144a/Steven-Berghuis"
"8",NA,"2022 Netherlands","WCQ — UEFA M","Justin Bijlow","GK","24",6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/53d93280/Justin-Bijlow"
"9",NA,"2022 Netherlands","WCQ — UEFA M","Virgil van Dijk","DF","30",6,6,540,6,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,"https://fbref.com/en/players/e06683ca/Virgil-van-Dijk"
"10",NA,"2022 Netherlands","WCQ — UEFA M","Stefan de Vrij","DF","29",6,6,539,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d0d8dd44/Stefan-de-Vrij"
