"","Season","Squad","Comp","Player","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","PlayerURL"
"1",NA,"2022 Qatar","WCQ — AFC M","Almoez Ali","FW","25",8,8,708,7.9,6,2,5,1,1,1,0,0.76,0.25,1.02,0.64,0.89,"https://fbref.com/en/players/bae045a9/Almoez-Ali"
"2",NA,"2022 Qatar","WCQ — AFC M","Boualem Khoukhi","DF,MF","31",8,8,703,7.8,1,1,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26,"https://fbref.com/en/players/7be5ad52/Boualem-Khoukhi"
"3",NA,"2022 Qatar","WCQ — AFC M","Hassan Al-Haydos","MF,FW","31",8,8,648,7.2,2,0,1,1,2,1,0,0.28,0,0.28,0.14,0.14,"https://fbref.com/en/players/41bd6c64/Hassan-Al-Haydos"
"4",NA,"2022 Qatar","WCQ — AFC M","Saad Al Sheeb","GK","31",7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e00ad66a/Saad-Al-Sheeb"
"5",NA,"2022 Qatar","WCQ — AFC M","Abdelkarim Hassan","DF,MF","28",7,7,611,6.8,1,1,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,"https://fbref.com/en/players/7380bccf/Abdelkarim-Hassan"
"6",NA,"2022 Qatar","WCQ — AFC M","Abdulaziz Hatem","MF","31",7,7,584,6.5,2,1,2,0,0,0,0,0.31,0.15,0.46,0.31,0.46,"https://fbref.com/en/players/c5065ef8/Abdulaziz-Hatem"
"7",NA,"2022 Qatar","WCQ — AFC M","Karim Boudiaf","MF,DF","31",7,6,481,5.3,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,"https://fbref.com/en/players/a38f33fd/Karim-Boudiaf"
"8",NA,"2022 Qatar","WCQ — AFC M","Yusuf Abdurisag","FW,MF","22",7,6,427,4.7,1,2,1,0,0,0,0,0.21,0.42,0.63,0.21,0.63,"https://fbref.com/en/players/13c8f40b/Yusuf-Abdurisag"
"9",NA,"2022 Qatar","WCQ — AFC M","Bassam Al Rawi","DF","24",6,5,497,5.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d59acc5e/Bassam-Al-Rawi"
"10",NA,"2022 Qatar","WCQ — AFC M","Tarek Salman","DF","24",5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/420f4985/Tarek-Salman"
"11",NA,"2022 Qatar","WCQ — AFC M","Akram Afif","FW,MF","25",6,4,386,4.3,4,3,3,1,1,1,0,0.93,0.7,1.63,0.7,1.4,"https://fbref.com/en/players/fd53d9e7/Akram-Afif"
"12",NA,"2022 Qatar","WCQ — AFC M","Ró-Ró","DF","31",4,4,360,4,0,0,0,0,0,2,0,0,0,0,0,0,"https://fbref.com/en/players/8735fe66/Ro-Ro"
"13",NA,"2022 Qatar","WCQ — AFC M","Musaab Khidir","DF,MF","29",5,4,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d9261523/Musaab-Khidir"
"14",NA,"2022 Qatar","WCQ — AFC M","Assim Madibo","MF","25",2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,"https://fbref.com/en/players/2b1d2ada/Assim-Madibo"
"15",NA,"2022 Qatar","WCQ — AFC M","Mohammed Muntari","FW","28",3,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/da38f46e/Mohammed-Muntari"
"16",NA,"2022 Qatar","WCQ — AFC M","Ahmed Alaaeldin","FW","29",5,1,121,1.3,0,1,0,0,0,0,0,0,0.74,0.74,0,0.74,"https://fbref.com/en/players/74fbbb3c/Ahmed-Alaaeldin"
"17",NA,"2022 Qatar","WCQ — AFC M","Salem Al Hajri","MF","25",3,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d0d5bc2e/Salem-Al-Hajri"
"18",NA,"2022 Qatar","WCQ — AFC M","Mohammed Waad","DF","22",2,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/94e8df02/Mohammed-Waad"
"19",NA,"2022 Qatar","WCQ — AFC M","Meshaal Barsham","GK","23",1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8d3e92e0/Meshaal-Barsham"
"20",NA,"2022 Qatar","WCQ — AFC M","Fahad Al-Abdulrahman","DF","26",1,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/64cd80c8/Fahad-Al-Abdulrahman"
"21",NA,"2022 Qatar","WCQ — AFC M","Ismail Mohamad","FW","31",4,0,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b554011a/Ismail-Mohamad"
"22",NA,"2022 Qatar","WCQ — AFC M","Abdullah Abdulsalam","MF","24",3,0,80,0.9,0,1,0,0,0,0,0,0,1.13,1.13,0,1.13,"https://fbref.com/en/players/cf50eb7a/Abdullah-Abdulsalam"
